Uni_number, salary ,salary_currency, salary_in_usd 
260,130000,USD,130000
261,54000,EUR,63831
262,1250000,INR,16904
263,4900000,INR,66265
264,21600,EUR,25532
265,160000,USD,160000
266,93150,USD,93150
267,111775,USD,111775
268,250000,TRY,28016
269,55000,EUR,65013
270,72500,USD,72500
271,102000,BRL,18907
272,65000,EUR,76833
273,85000,USD,85000
274,65720,EUR,77684
275,100000,USD,100000
276,58000,USD,58000
277,55000,USD,55000
278,180000,TRY,20171
279,50000,EUR,59102
280,112000,USD,112000
281,100000,USD,100000
282,59000,EUR,69741
283,105000,USD,105000
284,69999,USD,69999
285,7000000,INR,94665
286,87000,EUR,102839
287,109000,USD,109000
288,43200,EUR,51064
289,135000,USD,135000
290,155000,USD,155000
291,120600,USD,120600
292,130000,USD,130000
293,90000,USD,90000
294,170000,USD,170000
295,150000,USD,150000
296,102100,USD,102100
297,84900,USD,84900
298,136620,USD,136620
299,99360,USD,99360
300,90000,GBP,117789
301,80000,GBP,104702
302,146000,USD,146000
303,123000,USD,123000
304,40000,GBP,52351
305,99000,USD,99000
306,116000,USD,116000
307,106260,USD,106260
308,126500,USD,126500
309,242000,USD,242000
310,200000,USD,200000
311,50000,GBP,65438
312,30000,GBP,39263
313,60000,GBP,78526
314,40000,GBP,52351
315,165220,USD,165220
316,35000,GBP,45807
317,120160,USD,120160
318,90320,USD,90320
319,181940,USD,181940
320,132320,USD,132320
321,220110,USD,220110
322,160080,USD,160080
323,180000,USD,180000
324,120000,USD,120000
325,124190,USD,124190
326,130000,USD,130000
327,110000,USD,110000
328,170000,USD,170000
329,115500,USD,115500
330,112900,USD,112900
331,90320,USD,90320
332,112900,USD,112900
333,90320,USD,90320
334,165400,USD,165400
335,132320,USD,132320
336,167000,USD,167000
337,243900,USD,243900
338,136600,USD,136600
339,109280,USD,109280
340,128875,USD,128875
341,93700,USD,93700
342,224000,USD,224000
343,167875,USD,167875
344,175000,USD,175000
345,156600,USD,156600
346,108800,USD,108800
347,95550,USD,95550
348,113000,USD,113000
349,135000,USD,135000
350,161342,USD,161342
351,137141,USD,137141
352,167000,USD,167000
353,123000,USD,123000
354,60000,GBP,78526
355,50000,GBP,65438
356,150000,USD,150000
357,211500,USD,211500
358,192400,USD,192400
359,90700,USD,90700
360,130000,USD,130000
361,61300,USD,61300
362,130000,USD,130000
363,61300,USD,61300
364,160000,USD,160000
365,138600,USD,138600
366,136000,USD,136000
367,58000,USD,58000
368,135000,USD,135000
369,170000,USD,170000
370,123000,USD,123000
371,189650,USD,189650
372,164996,USD,164996
373,50000,EUR,54957
374,50000,EUR,54957
375,150000,CAD,118187
376,132000,USD,132000
377,165400,USD,165400
378,208775,USD,208775
379,147800,USD,147800
380,136994,USD,136994
381,101570,USD,101570
382,128875,USD,128875
383,93700,USD,93700
384,6000000,INR,79039
385,132320,USD,132320
386,28500,GBP,37300
387,164000,USD,164000
388,155000,USD,155000
389,95000,GBP,124333
390,75000,GBP,98158
391,120000,USD,120000
392,112900,USD,112900
393,90320,USD,90320
394,145000,USD,145000
395,105400,USD,105400
396,80000,EUR,87932
397,90000,GBP,117789
398,215300,USD,215300
399,158200,USD,158200
400,209100,USD,209100
401,154600,USD,154600
402,115934,USD,115934
403,81666,USD,81666
404,175000,USD,175000
405,75000,GBP,98158
406,58000,USD,58000
407,183600,USD,183600
408,40000,GBP,52351
409,180000,USD,180000
410,55000,GBP,71982
411,35000,GBP,45807
412,60000,EUR,65949
413,45000,EUR,49461
414,60000,GBP,78526
415,45000,GBP,58894
416,260000,USD,260000
417,60000,USD,60000
418,63900,USD,63900
419,160000,USD,160000
420,112300,USD,112300
421,241000,USD,241000
422,159000,USD,159000
423,180000,USD,180000
424,80000,USD,80000
425,82900,USD,82900
426,100800,USD,100800
427,45000,EUR,49461
428,140400,USD,140400
429,30000,GBP,39263
430,40000,EUR,43966
431,30000,EUR,32974
432,80000,EUR,87932
433,70000,EUR,76940
434,80000,GBP,104702
435,70000,GBP,91614
436,60000,EUR,65949
437,80000,EUR,87932
438,189650,USD,189650
439,164996,USD,164996
440,40000,EUR,43966
441,30000,EUR,32974
442,75000,GBP,98158
443,60000,GBP,78526
444,215300,USD,215300
445,70000,EUR,76940
446,209100,USD,209100
447,154600,USD,154600
448,180000,USD,180000
449,20000,EUR,21983
450,80000,USD,80000
451,100000,CAD,78791
452,250000,CAD,196979
453,120000,USD,120000
454,125000,USD,125000
455,240000,CNY,37236
456,105000,USD,105000
457,80000,EUR,87932
458,1400000,INR,18442
459,2400000,INR,31615
460,53000,EUR,58255
461,100000,USD,100000
462,50000,EUR,54957
463,1400000,INR,18442
464,148000,EUR,162674
465,120000,USD,120000
466,144000,USD,144000
467,104890,USD,104890
468,100000,USD,100000
469,140000,USD,140000
470,135000,USD,135000
471,50000,USD,50000
472,220000,USD,220000
473,140000,USD,140000
474,140000,GBP,183228
475,70000,GBP,91614
476,185100,USD,185100
477,220000,USD,220000
478,200000,USD,200000
479,120000,USD,120000
480,120000,USD,120000
481,65000,USD,65000
482,324000,USD,324000
483,216000,USD,216000
484,210000,USD,210000
485,120000,USD,120000
486,230000,USD,230000
487,100000,USD,100000
488,100000,USD,100000
489,29000,EUR,31875
490,200000,USD,200000
491,75000,USD,75000
492,150000,PLN,35590
493,100000,CAD,78791
494,100000,USD,100000
495,153000,USD,153000
496,52800,EUR,58035
497,165000,USD,165000
498,85000,EUR,93427
499,66500,CAD,52396
500,57000,EUR,62651
501,30000,EUR,32974
502,40000,USD,40000
503,121000,AUD,87425
504,115000,USD,115000
505,120000,AUD,86703
506,75000,USD,75000
507,59000,EUR,64849
508,120000,USD,120000
509,157000,USD,157000
510,150000,USD,150000
511,90000,CAD,70912
512,65000,USD,65000
513,65000,EUR,71444
514,20000,USD,20000
515,48000,USD,48000
516,152500,USD,152500
517,62000,EUR,68147
518,115000,CHF,122346
519,380000,USD,380000
520,88000,CAD,69336
521,10000,USD,10000
522,20000,USD,20000
523,405000,USD,405000
524,135000,USD,135000
525,177000,USD,177000
526,78000,USD,78000
527,135000,USD,135000
528,100000,USD,100000
529,90320,USD,90320
530,85000,USD,85000
531,75000,USD,75000
532,214000,USD,214000
533,192600,USD,192600
534,266400,USD,266400
535,213120,USD,213120
536,112900,USD,112900
537,155000,USD,155000
538,141300,USD,141300
539,102100,USD,102100
540,115934,USD,115934
541,81666,USD,81666
542,206699,USD,206699
543,99100,USD,99100
544,130000,USD,130000
545,115000,USD,115000
546,110500,USD,110500
547,130000,USD,130000
548,99050,USD,99050
549,160000,USD,160000
550,205300,USD,205300
551,140400,USD,140400
552,176000,USD,176000
553,144000,USD,144000
554,200100,USD,200100
555,160000,USD,160000
556,145000,USD,145000
557,70500,USD,70500
558,205300,USD,205300
559,140400,USD,140400
560,205300,USD,205300
561,184700,USD,184700
562,175100,USD,175100
563,140250,USD,140250
564,116150,USD,116150
565,54000,USD,54000
566,170000,USD,170000
567,50000,GBP,65438
568,80000,USD,80000
569,140000,USD,140000
570,210000,USD,210000
571,140000,USD,140000
572,100000,USD,100000
573,69000,USD,69000
574,210000,USD,210000
575,140000,USD,140000
576,210000,USD,210000
577,150075,USD,150075
578,100000,USD,100000
579,25000,USD,25000
580,126500,USD,126500
581,106260,USD,106260
582,220110,USD,220110
583,160080,USD,160080
584,105000,USD,105000
585,110925,USD,110925
586,35000,GBP,45807
587,140000,USD,140000
588,99000,USD,99000
589,60000,USD,60000
590,192564,USD,192564
591,144854,USD,144854
592,230000,USD,230000
593,150000,USD,150000
594,150260,USD,150260
595,109280,USD,109280
596,210000,USD,210000
597,170000,USD,170000
598,160000,USD,160000
599,130000,USD,130000
600,67000,USD,67000
601,52000,USD,52000
602,154000,USD,154000
603,126000,USD,126000
604,129000,USD,129000
605,150000,USD,150000
606,200000,USD,200000
